Kod teryt.;Nazwa jednostki;Liczba mieszkańców;Liczba wyborców ujętych w rejestrze wyborców
281802;gm. Dubeninki;3132;2499
281803;gm. Gołdap;20191;15975
281901;gm. Budry;3134;2498
281902;gm. Pozezdrze;3428;2774
281903;gm. Węgorzewo;17023;13974
286101;m. Elbląg;116045;96108
286201;m. Olsztyn;162898;133917
300101;m. Chodzież;18731;15488
300102;gm. Budzyń;8432;6639
300103;gm. Chodzież;5847;4601
300104;gm. Margonin;6299;4937
300105;gm. Szamocin;7492;5850
300201;m. Czarnków;10906;8982
300202;gm. Czarnków;11157;8780
300203;gm. Drawsko;5952;4788
300204;gm. Krzyż Wielkopolski;8755;7067
300205;gm. Lubasz;7439;5857
300206;gm. Połajewo;6214;4857
300207;gm. Trzcianka;23897;18998
300208;gm. Wieleń;12496;9926
300301;m. Gniezno;66839;54878
300302;gm. Czerniejewo;7180;5702
300303;gm. Gniezno;11028;8363
300304;gm. Kiszkowo;5425;4283
300305;gm. Kłecko;7611;6001
300306;gm. Łubowo;6187;4776
300307;gm. Mieleszyn;4048;3094
300308;gm. Niechanowo;5813;4427
300309;gm. Trzemeszno;14114;11228
300310;gm. Witkowo;13617;10830
300401;gm. Borek Wielkopolski;7691;6085
300402;gm. Gostyń;27704;22535
300403;gm. Krobia;13038;10366
300404;gm. Pępowo;6010;4774
300405;gm. Piaski;8549;6827
300406;gm. Pogorzela;5166;4074
300407;gm. Poniec;7894;6321
300501;gm. Granowo;5018;3943
300502;gm. Grodzisk Wielkopolski;19182;15260
300503;gm. Kamieniec;6651;5212
300504;gm. Rakoniewice;12997;10029
300505;gm. Wielichowo;6931;5440
300601;gm. Jaraczewo;8315;6574
300602;gm. Jarocin;45199;36402
300603;gm. Kotlin;7288;5737
300604;gm. Żerków;10520;8344
300701;gm. Blizanów;9903;7907
300702;gm. Brzeziny;5887;4672
300703;gm. Ceków-Kolonia;4828;3865
300704;gm. Godziesze Wielkie;9306;7366
300705;gm. Koźminek;7557;6090
300706;gm. Lisków;5292;4285
300707;gm. Mycielin;4966;4024
300708;gm. Opatówek;10743;8709
300709;gm. Stawiszyn;7225;5862
300710;gm. Szczytniki;7885;6317
300711;gm. Żelazków;9391;7546
300801;gm. Baranów;7843;6176
300802;gm. Bralin;5985;4709
300803;gm. Kępno;24370;19768
300804;gm. Łęka Opatowska;5322;4181
300805;gm. Perzów;3819;3081
300806;gm. Rychtal;3920;3188
300807;gm. Trzcinica;4866;3858
300901;m. Koło;22304;18442
300902;gm. Babiak;8066;6506
300903;gm. Chodów;3278;2738
300904;gm. Dąbie;6513;5367
300905;gm. Grzegorzew;5723;4571
300906;gm. Kłodawa;13082;10670
300907;gm. Koło;7683;6089
300908;gm. Kościelec;6751;5400
300909;gm. Olszówka;4646;3772
300910;gm. Osiek Mały;6085;4746
300911;gm. Przedecz;4336;3497
301001;gm. Golina;11879;9653
301002;gm. Grodziec;5256;4170
301003;gm. Kazimierz Biskupi;11389;9132
301004;gm. Kleczew;9955;8064
301005;gm. Kramsk;10974;8612
301006;gm. Krzymów;7789;6084
301007;gm. Rychwał;8410;6712
301008;gm. Rzgów;7138;5667
301009;gm. Skulsk;6187;4955
301010;gm. Sompolno;10548;8427
301011;gm. Stare Miasto;11711;9118
301012;gm. Ślesin;14001;11258
301013;gm. Wierzbinek;7521;5914
301014;gm. Wilczyn;6260;4937
301101;m. Kościan;23006;19264
301102;gm. Czempiń;11304;9120
301103;gm. Kościan;15738;12540
301104;gm. Krzywiń;10015;7951
301105;gm. Śmigiel;17655;14006
301201;m. Sulmierzyce;2866;2226
301202;gm. Kobylin;8225;6506
301203;gm. Koźmin Wielkopolski;13469;10790
