"Kod TERYT";"Gmina";"Powiat";"Delegatura";"Liczba mieszkańców";"Liczba wyborców ogółem";"Liczba wyborców wpisanych z urzędu";"Liczba wyborców wpisanych na wniosek";"Informacja o liczbie wyborców wpisanych ogółem (art. 19) w części A";"Informacja o liczbie wyborców wpisanych § 1 (Z2A)";"Informacja o liczbie wyborców wpisanych § 2 (Z2B)";"Informacja o liczbie wyborców wpisanych § 3 (Z2C)";"Informacja o liczbie wyborców wpisanych w części B (ZUE)";"Informacja o liczbie wyborców skreślonych (§ 6 ust. 1) w części A ogółem";"Informacja o liczbie wyborców skreślonych w części A pkt 1 (R41)";"Informacja o liczbie wyborców skreślonych w części A pkt 2 (R42)";"Informacja o liczbie wyborców skreślonych w części A pkt 3 (R43)";"Informacja o liczbie wyborców skreślonych (§ 6 ust. 2) w części A (R41b)";"Informacja o liczbie wyborców skreślonych w części B ogółem (RUE)"
"=""100408""";"gm. Witonia";"łęczycki";"Łódź";3228;2723;2702;21;21;17;0;4;0;16;4;8;4;0;0
"Powiat łowicki";"";"";"";77688;63651;63246;405;405;341;4;60;0;621;116;445;60;0;0
"=""100501""";"m. Łowicz";"łowicki";"Łódź";27726;22832;22710;122;122;89;0;33;0;311;32;246;33;0;0
"=""100502""";"gm. Bielawy";"łowicki";"Łódź";5395;4508;4403;105;105;93;1;11;0;47;24;12;11;0;0
"=""100503""";"gm. Chąśno";"łowicki";"Łódź";2949;2444;2439;5;5;2;0;3;0;13;1;9;3;0;0
"=""100504""";"gm. Domaniewice";"łowicki";"Łódź";4624;3707;3687;20;20;17;1;2;0;26;4;20;2;0;0
"=""100505""";"gm. Kiernozia";"łowicki";"Łódź";3383;2812;2790;22;22;19;1;2;0;23;5;16;2;0;0
"=""100506""";"gm. Kocierzew Południowy";"łowicki";"Łódź";4271;3480;3470;10;10;10;0;0;0;33;8;25;0;0;0
"=""100507""";"gm. Łowicz";"łowicki";"Łódź";7708;6227;6206;21;21;20;0;1;0;28;4;23;1;0;0
"=""100508""";"gm. Łyszkowice";"łowicki";"Łódź";6631;5357;5326;31;31;25;0;6;0;47;18;23;6;0;0
"=""100509""";"gm. Nieborów";"łowicki";"Łódź";9374;7594;7548;46;46;46;0;0;0;46;10;36;0;0;0
"=""100510""";"gm. Zduny";"łowicki";"Łódź";5627;4690;4667;23;23;20;1;2;0;47;10;35;2;0;0
"Powiat łódzki wschodni";"";"";"";70337;56710;55784;926;926;824;6;96;0;637;193;348;96;0;0
"=""100602""";"gm. Andrespol";"łódzki wschodni";"Łódź";13787;11031;10853;178;178;166;5;7;0;151;80;64;7;0;0
"=""100603""";"gm. Brójce";"łódzki wschodni";"Łódź";6625;5206;5093;113;113;113;0;0;0;37;13;24;0;0;0
"=""100607""";"gm. Koluszki";"łódzki wschodni";"Łódź";22788;18683;18490;193;193;143;0;50;0;241;58;133;50;0;0
"=""100608""";"gm. Nowosolna";"łódzki wschodni";"Łódź";5003;3965;3755;210;210;203;0;7;0;28;5;16;7;0;0
"=""100610""";"gm. Rzgów";"łódzki wschodni";"Łódź";10039;7992;7931;61;61;57;0;4;0;75;24;47;4;0;0
"=""100611""";"gm. Tuszyn";"łódzki wschodni";"Łódź";12095;9833;9662;171;171;142;1;28;0;105;13;64;28;0;0
"Powiat opoczyński";"";"";"";76610;61843;61196;647;646;512;16;118;1;819;123;578;118;0;0
"=""100701""";"gm. Białaczów";"opoczyński";"Skierniewice";5849;4757;4661;96;95;79;8;8;1;35;3;24;8;0;0
"=""100702""";"gm. Drzewica";"opoczyński";"Skierniewice";10522;8606;8568;38;38;29;0;9;0;131;18;104;9;0;0
"=""100703""";"gm. Mniszków";"opoczyński";"Skierniewice";4788;3819;3723;96;96;87;0;9;0;38;7;22;9;0;0
"=""100704""";"gm. Opoczno";"opoczyński";"Skierniewice";33880;27435;27302;133;133;64;0;69;0;393;42;282;69;0;0
"=""100705""";"gm. Paradyż";"opoczyński";"Skierniewice";4469;3513;3472;41;41;35;0;6;0;67;19;42;6;0;0
"=""100706""";"gm. Poświętne";"opoczyński";"Skierniewice";3244;2671;2615;56;56;54;0;2;0;22;0;20;2;0;0
"=""100707""";"gm. Sławno";"opoczyński";"Skierniewice";7819;6045;6005;40;40;38;0;2;0;49;16;31;2;0;0
"=""100708""";"gm. Żarnów";"opoczyński";"Skierniewice";6039;4997;4850;147;147;126;8;13;0;84;18;53;13;0;0
"Powiat pabianicki";"";"";"";113827;94183;93194;989;985;829;8;148;4;1106;198;760;148;0;0
"=""100801""";"m. Konstantynów Łódzki";"pabianicki";"Łódź";17712;14558;14280;278;277;219;0;58;1;210;65;87;58;0;0
"=""100802""";"m. Pabianice";"pabianicki";"Łódź";60773;51276;51099;177;177;121;0;56;0;660;81;523;56;0;0
"=""100803""";"gm. Dłutów";"pabianicki";"Łódź";4652;3743;3657;86;86;78;4;4;0;33;10;19;4;0;0
"=""100804""";"gm. Dobroń";"pabianicki";"Łódź";7575;6125;6037;88;88;80;2;6;0;48;13;29;6;0;0
"=""100805""";"gm. Ksawerów";"pabianicki";"Łódź";7529;6094;6001;93;93;82;2;9;0;69;10;50;9;0;0
"=""100806""";"gm. Lutomiersk";"pabianicki";"Łódź";8301;6677;6528;149;147;142;0;5;2;48;12;31;5;0;0
"=""100807""";"gm. Pabianice";"pabianicki";"Łódź";7285;5710;5592;118;117;107;0;10;1;38;7;21;10;0;0
"Powiat pajęczański";"";"";"";51501;42320;41720;600;599;454;15;130;1;543;87;326;130;0;0
"=""100901""";"gm. Działoszyn";"pajęczański";"Sieradz";12363;10155;10046;109;109;60;5;44;0;143;24;75;44;0;0
"=""100902""";"gm. Kiełczygłów";"pajęczański";"Sieradz";4091;3406;3340;66;66;59;0;7;0;47;5;35;7;0;0
"=""100903""";"gm. Nowa Brzeźnica";"pajęczański";"Sieradz";4551;3825;3782;43;42;41;0;1;1;26;2;23;1;0;0
"=""100904""";"gm. Pajęczno";"pajęczański";"Sieradz";11640;9513;9417;96;96;68;3;25;0;134;20;89;25;0;0
