"Kod TERYT";"Gmina";"Powiat";"Delegatura";"Liczba mieszkańców";"Liczba wyborców ogółem";"Liczba wyborców ujętych w stałym obwodzie w CRW z urzędu na podstawie adresu stałego zameldowania";"Liczba wyborców ujętych w stałym obwodzie w CRW na wniosek";"w tym liczba wyborców posiadających obywatelstwo krajów UE";"w tym liczba wyborców posiadających obywatelstwo UK";"Liczba osób pozbawionych prawa wybierania ogółem";"w tym liczba osób pozbawionych prawa wybierania posiadających obywatelstwo krajów UE";"w tym liczba osób pozbawionych prawa wybierania posiadających obywatelstwo UK"
"=""022104""";"gm. Czarny Bór";"wałbrzyski";"Wałbrzych";4737;3835;3789;46;0;0;4;0;0
"=""022105""";"gm. Głuszyca";"wałbrzyski";"Wałbrzych";7810;6671;6626;45;0;0;7;0;0
"=""022106""";"gm. Mieroszów";"wałbrzyski";"Wałbrzych";5836;4929;4881;48;0;0;10;0;0
"=""022107""";"gm. Stare Bogaczowice";"wałbrzyski";"Wałbrzych";4123;3366;3320;46;0;0;7;0;0
"=""022108""";"gm. Walim";"wałbrzyski";"Wałbrzych";5223;4376;4298;78;1;0;10;0;0
"Powiat wołowski";"";"";"";44013;36209;35867;342;4;0;85;0;0
"=""022201""";"gm. Brzeg Dolny";"wołowski";"Wrocław";15184;12505;12438;67;2;0;27;0;0
"=""022202""";"gm. Wińsko";"wołowski";"Wrocław";8000;6575;6431;144;2;0;11;0;0
"=""022203""";"gm. Wołów";"wołowski";"Wrocław";20829;17129;16998;131;0;0;47;0;0
"Powiat wrocławski";"";"";"";160461;121192;117004;4188;18;0;219;0;0
"=""022301""";"gm. Czernica";"wrocławski";"Wrocław";19350;14386;13856;530;3;0;32;0;0
"=""022302""";"gm. Długołęka";"wrocławski";"Wrocław";36942;27673;26319;1354;6;0;36;0;0
"=""022303""";"gm. Jordanów Śląski";"wrocławski";"Wrocław";3169;2543;2484;59;0;0;5;0;0
"=""022304""";"gm. Kąty Wrocławskie";"wrocławski";"Wrocław";25895;19845;19292;553;2;0;45;0;0
"=""022305""";"gm. Kobierzyce";"wrocławski";"Wrocław";21863;16026;15597;429;1;0;26;0;0
"=""022306""";"gm. Mietków";"wrocławski";"Wrocław";3751;3005;2909;96;0;0;11;0;0
"=""022307""";"gm. Sobótka";"wrocławski";"Wrocław";12321;10041;9848;193;2;0;26;0;0
"=""022308""";"gm. Siechnice";"wrocławski";"Wrocław";25333;18610;18025;585;4;0;24;0;0
"=""022309""";"gm. Żórawina";"wrocławski";"Wrocław";11837;9063;8674;389;0;0;14;0;0
"Powiat ząbkowicki";"";"";"";59795;50154;49739;415;6;0;263;0;0
"=""022401""";"gm. Bardo";"ząbkowicki";"Wałbrzych";4921;4053;3985;68;1;0;111;0;0
"=""022402""";"gm. Ciepłowody";"ząbkowicki";"Wałbrzych";2896;2358;2324;34;0;0;7;0;0
"=""022403""";"gm. Kamieniec Ząbkowicki";"ząbkowicki";"Wałbrzych";7550;6311;6241;70;0;0;8;0;0
"=""022404""";"gm. Stoszowice";"ząbkowicki";"Wałbrzych";5063;4190;4174;16;0;0;11;0;0
"=""022405""";"gm. Ząbkowice Śląskie";"ząbkowicki";"Wałbrzych";19766;16694;16577;117;2;0;56;0;0
"=""022406""";"gm. Ziębice";"ząbkowicki";"Wałbrzych";15511;13047;12988;59;2;0;59;0;0
"=""022407""";"gm. Złoty Stok";"ząbkowicki";"Wałbrzych";4088;3501;3450;51;1;0;11;0;0
