Kod TERYT;Gmina;Powiat;Delegatura;Liczba mieszkańców;Liczba wyborców ogółem;Liczba wyborców wpisanych z urzędu;Liczba wyborców ujętych w stałym obwodzie w CRW na wniosek
142503;gm. Iłża;radomski;Radom;14085;11626;11598;28
142504;gm. Jastrzębia;radomski;Radom;7048;5508;5364;144
142505;gm. Jedlińsk;radomski;Radom;14543;11220;11106;114
142506;gm. Jedlnia-Letnisko;radomski;Radom;13260;10500;10320;180
142507;gm. Kowala;radomski;Radom;12233;9558;9372;186
142508;gm. Pionki;radomski;Radom;9821;7998;7926;72
142509;gm. Przytyk;radomski;Radom;7259;5698;5625;73
142510;gm. Skaryszew;radomski;Radom;15157;11647;11507;140
142511;gm. Wierzbica;radomski;Radom;9310;7410;7381;29
142512;gm. Wolanów;radomski;Radom;9002;7010;6856;154
142513;gm. Zakrzew;radomski;Radom;13621;10458;10298;160
Powiat siedlecki;;;;81222;64075;63496;579
142601;gm. Domanice;siedlecki;Siedlce;2600;2029;1995;34
142602;gm. Korczew;siedlecki;Siedlce;2461;2105;2078;27
142603;gm. Kotuń;siedlecki;Siedlce;8386;6648;6573;75
142604;gm. Mokobody;siedlecki;Siedlce;4907;3943;3888;55
142605;gm. Mordy;siedlecki;Siedlce;5589;4556;4506;50
142606;gm. Paprotnia;siedlecki;Siedlce;2499;2001;1973;28
142607;gm. Przesmyki;siedlecki;Siedlce;3039;2516;2493;23
142608;gm. Siedlce;siedlecki;Siedlce;18790;14537;14449;88
142609;gm. Skórzec;siedlecki;Siedlce;8056;6194;6158;36
142610;gm. Suchożebry;siedlecki;Siedlce;4682;3712;3672;40
142611;gm. Wiśniew;siedlecki;Siedlce;5868;4632;4600;32
142612;gm. Wodynie;siedlecki;Siedlce;4289;3445;3411;34
142613;gm. Zbuczyn;siedlecki;Siedlce;10056;7757;7700;57
Powiat sierpecki;;;;49098;40021;39531;490
142701;m. Sierpc;sierpecki;Płock;16555;13719;13659;60
142702;gm. Gozdowo;sierpecki;Płock;5732;4582;4525;57
142703;gm. Mochowo;sierpecki;Płock;5844;4707;4588;119
142704;gm. Rościszewo;sierpecki;Płock;3966;3208;3176;32
142705;gm. Sierpc;sierpecki;Płock;6619;5330;5277;53
142706;gm. Szczutowo;sierpecki;Płock;4163;3370;3273;97
142707;gm. Zawidz;sierpecki;Płock;6219;5105;5033;72
Powiat sochaczewski;;;;80441;64828;64158;670
142801;m. Sochaczew;sochaczewski;Płock;31983;26345;26180;165
142802;gm. Brochów;sochaczewski;Płock;4391;3541;3419;122
142803;gm. Iłów;sochaczewski;Płock;5927;4764;4700;64
142804;gm. Młodzieszyn;sochaczewski;Płock;5496;4421;4390;31
142805;gm. Nowa Sucha;sochaczewski;Płock;6763;5315;5251;64
142806;gm. Rybno;sochaczewski;Płock;3445;2706;2668;38
142807;gm. Sochaczew;sochaczewski;Płock;11224;8772;8713;59
142808;gm. Teresin;sochaczewski;Płock;11212;8964;8837;127
Powiat sokołowski;;;;52028;42640;42168;472
142901;m. Sokołów Podlaski;sokołowski;Siedlce;18224;14839;14699;140
142902;gm. Bielany;sokołowski;Siedlce;3599;2873;2826;47
142903;gm. Ceranów;sokołowski;Siedlce;2008;1707;1682;25
142904;gm. Jabłonna Lacka;sokołowski;Siedlce;4323;3559;3512;47
142905;gm. Kosów Lacki;sokołowski;Siedlce;5807;4757;4733;24
142906;gm. Repki;sokołowski;Siedlce;4895;4067;4026;41
142907;gm. Sabnie;sokołowski;Siedlce;3443;2864;2833;31
142908;gm. Sokołów Podlaski;sokołowski;Siedlce;6008;4839;4758;81
142909;gm. Sterdyń;sokołowski;Siedlce;3721;3135;3099;36
Powiat szydłowiecki;;;;38086;31047;30539;508
143001;gm. Chlewiska;szydłowiecki;Radom;5802;4821;4611;210
143002;gm. Jastrząb;szydłowiecki;Radom;5152;4144;4050;94
143003;gm. Mirów;szydłowiecki;Radom;3801;2977;2930;47
143004;gm. Orońsko;szydłowiecki;Radom;5867;4609;4545;64
143005;gm. Szydłowiec;szydłowiecki;Radom;17464;14496;14403;93
Powiat warszawski zachodni;;;;120421;93833;90548;3284
143201;gm. Błonie;warszawski zachodni;Warszawa;21085;16678;16398;280
143202;gm. Izabelin;warszawski zachodni;Warszawa;10357;8338;8003;335
143203;gm. Kampinos;warszawski zachodni;Warszawa;4305;3522;3373;149
143204;gm. Leszno;warszawski zachodni;Warszawa;9966;7999;7692;307
143205;gm. Łomianki;warszawski zachodni;Warszawa;27918;21781;20670;1110
143206;gm. Ożarów Mazowiecki;warszawski zachodni;Warszawa;26773;20085;19699;386
143207;gm. Stare Babice;warszawski zachodni;Warszawa;20017;15430;14713;717
Powiat węgrowski;;;;64007;51581;51131;450
143301;m. Węgrów;węgrowski;Siedlce;12144;9820;9781;39
143302;gm. Grębków;węgrowski;Siedlce;4392;3480;3450;30
143303;gm. Korytnica;węgrowski;Siedlce;5956;4808;4763;45
